date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-21,115815,NJ,1327.0,294.0,40.0,,,,,,,,2020-03-21T20:00:00Z,16.0,,1661.0,1621.0,1621.0,34,5.0,0.0,30.0,437.0,467.0,,,,,,,,
2020-03-07,690,NM,0.0,48.0,0.0,,,,,,,,2020-03-07T21:00:00Z,,,48.0,48.0,48.0,35,0.0,0.0,32.0,0.0,32.0,,,,,,,,
2020-03-14,869,NM,10.0,237.0,,,,,,,,,2020-03-14T20:00:00Z,,,247.0,247.0,247.0,35,0.0,0.0,47.0,0.0,47.0,,,,,,,,
2020-03-21,18105,NM,57.0,3771.0,,,,,,,,,2020-03-21T20:00:00Z,,,3828.0,3828.0,3828.0,35,0.0,0.0,0.0,14.0,14.0,,,,,,,,
2020-03-07,14035,NY,76.0,92.0,236.0,,,,,,,,2020-03-07T21:00:00Z,,,404.0,168.0,168.0,36,0.0,0.0,0.0,43.0,43.0,,,,,,,,
2020-03-14,14272,NY,524.0,2779.0,,,,,,,,,2020-03-14T20:00:00Z,,,3303.0,3303.0,3303.0,36,0.0,0.0,0.0,103.0,103.0,,,,,,,,
2020-03-21,79999,NY,10356.0,35081.0,,,1603.0,,,,,,2020-03-21T20:00:00Z,44.0,1603.0,45437.0,45437.0,45437.0,36,9.0,1603.0,9756.0,3254.0,13010.0,,,,,,,,
2020-03-07,2575,NC,2.0,,,,,,,,,,2020-03-07T21:00:00Z,,,2.0,2.0,2.0,37,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,3533,NC,23.0,137.0,,,,,,,,,2020-03-14T20:00:00Z,,,160.0,160.0,160.0,37,0.0,0.0,51.0,8.0,59.0,,,,,,,,
2020-03-21,94083,NC,184.0,5092.0,,,,,,,,,2020-03-21T20:00:00Z,0.0,,5276.0,5276.0,5276.0,37,0.0,0.0,1996.0,47.0,2043.0,,,,,,,,
2020-03-07,423,ND,0.0,0.0,,,,,,,,,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,38,,,,,,,,,,,,,
2020-03-14,415,ND,1.0,54.0,14.0,,,,,,,,2020-03-14T20:00:00Z,0.0,,69.0,55.0,55.0,38,0.0,0.0,15.0,0.0,15.0,,,,,,,,
2020-03-21,5662,ND,28.0,1141.0,,,3.0,,,,,,2020-03-21T20:00:00Z,0.0,3.0,1169.0,1169.0,1169.0,38,0.0,3.0,341.0,8.0,349.0,,,,,,,,
2020-03-07,6545,OH,0.0,9.0,5.0,,,,,,,,2020-03-07T21:00:00Z,,,14.0,9.0,9.0,39,0.0,0.0,1.0,0.0,1.0,,,,,,,,
2020-03-14,7046,OH,13.0,50.0,159.0,,,,,,,,2020-03-14T20:00:00Z,,,222.0,63.0,63.0,39,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-21,196309,OH,247.0,140.0,,,58.0,,,,,,2020-03-21T20:00:00Z,3.0,58.0,387.0,387.0,387.0,39,2.0,58.0,0.0,78.0,78.0,,,,,,,,
2020-03-07,1569,OK,1.0,,,,,,,,,,2020-03-07T21:00:00Z,,,1.0,1.0,1.0,40,,,,,,,,,,,,,
2020-03-14,1836,OK,4.0,36.0,37.0,,,,,,,,2020-03-14T20:00:00Z,,,77.0,40.0,40.0,40,0.0,0.0,0.0,1.0,1.0,,,,,,,,
2020-03-21,21926,OK,53.0,560.0,144.0,,10.0,,,,,,2020-03-21T20:00:00Z,1.0,10.0,757.0,613.0,613.0,40,0.0,10.0,22.0,4.0,26.0,,,,,,,,
2020-03-07,4154,OR,7.0,77.0,40.0,,,,,,,,2020-03-07T21:00:00Z,,,124.0,84.0,84.0,41,0.0,0.0,13.0,4.0,17.0,,,,,,,,
