date,value,state
1993-05-15,4546,VA
1993-05-22,4140,VA
1993-05-29,4160,VA
1993-06-05,4289,VA
1993-06-12,4116,VA
1993-06-19,4146,VA
1993-06-26,3871,VA
1993-07-03,6130,VA
1993-07-10,5904,VA
1993-07-17,5417,VA
1993-07-24,5255,VA
1993-07-31,3958,VA
1993-08-07,4425,VA
1993-08-14,3918,VA
1993-08-21,3674,VA
1993-08-28,3168,VA
1993-09-04,3415,VA
1993-09-11,3401,VA
1993-09-18,3533,VA
1993-09-25,3808,VA
1993-10-02,3479,VA
1993-10-09,5183,VA
1993-10-16,4365,VA
1993-10-23,5315,VA
1993-10-30,4398,VA
1993-11-06,5284,VA
1993-11-13,4623,VA
1993-11-20,6633,VA
1993-11-27,4036,VA
1993-12-04,8464,VA
1993-12-11,6815,VA
1993-12-18,11579,VA
1993-12-25,9926,VA
1994-01-01,6344,VA
1994-01-08,17038,VA
1994-01-15,13034,VA
1994-01-22,7449,VA
1994-01-29,9174,VA
1994-02-05,9089,VA
1994-02-12,5203,VA
1994-02-19,6714,VA
1994-02-26,4944,VA
1994-03-05,6346,VA
1994-03-12,7597,VA
1994-03-19,5730,VA
1994-03-26,4988,VA
1994-04-02,5913,VA
1994-04-09,5768,VA
1994-04-16,4917,VA
1994-04-23,4889,VA
1994-04-30,4179,VA
1994-05-07,5523,VA
1994-05-14,5548,VA
1994-05-21,5181,VA
1994-05-28,5754,VA
1994-06-04,4358,VA
1994-06-11,5779,VA
1994-06-18,3996,VA
1994-06-25,5359,VA
1994-07-02,8520,VA
1994-07-09,6942,VA
1994-07-16,6580,VA
1994-07-23,6776,VA
1994-07-30,4782,VA
1994-08-06,4516,VA
1994-08-13,3802,VA
1994-08-20,3981,VA
1994-08-27,3796,VA
1994-09-03,3779,VA
1994-09-10,3488,VA
1994-09-17,4524,VA
1994-09-24,4312,VA
1994-10-01,3747,VA
1994-10-08,4935,VA
1994-10-15,4157,VA
1994-10-22,4443,VA
1994-10-29,4101,VA
1994-11-05,5322,VA
1994-11-12,4073,VA
1994-11-19,5614,VA
1994-11-26,4553,VA
1994-12-03,6762,VA
1994-12-10,7373,VA
1994-12-17,10747,VA
1994-12-24,15204,VA
1994-12-31,12691,VA
1995-01-07,11645,VA
1995-01-14,10767,VA
1995-01-21,6481,VA
1995-01-28,6339,VA
